	text	inappropriate	human_labeled	offline_crime	online_crime	drugs	gambling	pornography	prostitution	slavery	suicide	terrorism	weapons	body_shaming	health_shaming	politics	racism	religion	sexual_minorities	sexism	social_injustice	none	toxic_new
681	Отрицательно, это не очень умные люди, которые купились на вражескую пропаганду, но их в стране 1-2% населения, их не хватит на гражданскую войну	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.019760612398386
682	Вопрос мужчинам, у вас до потери девства кожится от полового органа тоже с трудом открывалась ?	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2393280118703842
683	Ногу мамка фоткает, позже ворвется с новым контентом	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.6879112124443054
684	кристен такая всратка но иногда выглядит как топ соска	1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.2644153833389282
685	А вот и первый нюфаг попался.	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.5751277804374695
686	Почему некоторые хотят в африканскую страну Израиль? Это же агрессивное государство с постоянными конфликтами.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.3118615746498108
687	2. Взлом социальных сетей:2.1 Взлом ВКонтакте2.2 Взлом Istg2.3 Взлом Одноклассники2.4 Взлом F	1.0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232893116772174
688	девальвацию не отменялиреволюция=евреи, а поскольку власть у них, то революция невозможна	1.0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0.0278932806104421
689	Друзья никто не знает о моих проблемах, а в покер тянет играть уже сегодня. Когда проигрываешь депозит то думаешь что никогда больше не зайдешь, а спустя 2 часа уже хочется задепать больше и отыграть , капец	0.85	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027635004371404
690	Это кокс хрен найдёшь даже если купил кокс, там скорее всего вместо кокса амф подсунут.	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0690954029560089
691	Да. От табака и алкоголя вред зависит от его количества и качества. Отрезание хозяйства с этим не коррелирует. Так что это совсем разные вещи.	0.9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0055048763751983
692	Диалоговый код на сигнализации вообще реально взломать кодграбером ?	1.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0554469227790832
693	да не просто но кому мы нужны в нашем гос-ве?! крепитесь!	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0004105461121071
694	Все вышли из одного совка, традиции у всех общие.	0.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.2503050267696381
695	Я бутылку виски выбрею за пару часов.. хоть в салуне, хоть дома.	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0656077563762664
696	Почему же тормоз, просто я по типу темперамента флегматик, это нормально, а какой у тебя?	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.6204150319099426
697	Сколько несовершеннолетней школьнице лет, если она забеременела от молодого человекакоторому раздвинула ноги	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4114136099815369
698	да пофигу мне что этоалкоголизм это когда пьют ради алкогольного опьянения либо ради устранения абстинентного синдрома с ним связанного,я если и выпиваю в охотку пол литра пива или литр,так ради вкусовых качеств не более...	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009241178631782
699	Форма лица всратая, у меня глаз намётан, какими углами и фильтрами она пусть и прячет.	1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.7035419344902039
700	Даже .t говорит что w2 не взламывается, ты умней его?	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5274885296821594
701	сначала он убил всех своих врагов, теперь зачистил всех своих друзей, на очереди семья, а потом он застрелится. 	1.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5693709254264832
702	 пишу пьяныйСколько, чего, за какой промежуток времени выпил? /реально интересно/	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1685467064380645
703	Варианта три:1. Это был индус.2. Это цианоз.3. ОП забыл принять нейролептики.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.3964118659496307
704	"фильм про беслан дудя посмотри. этих болванов-террористов в тёмную использовали. живым из них остался только ""крот"", который и ввёл их в это."	1.0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.1818746775388717
705	Лучшая сцена секса в играх вообще, включая хентайные.	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0798827186226844
706	я пол года как попал на сайт. в закладке //, дальше не хожу. но у меня есть работа на шахте, я быдлан и бухаю с мужиками, вам не понять походу, так что, я исключение? или я не считаюсь битардом? лол	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.1914730966091156
707	" после прохождения ""Бесконечного лета"" собирался выпиливатьсяt "	0.93	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.2073941528797149
708	"Да нет у меня его фото кроме этого. Просто увидел его рожу как пример ""всратости"" и проиграл."	1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.7465731501579285
709	МожноИди в самую отстойную контору, где тебе дадут самую отстойную машину.Там обязательно возьмут. За нищенскую зарплату. Или вообще, за долг.Зато будет стаж.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0973403006792068
710	Курить лучше кальян. Наглядные эксперименты любителей это доказали. С научной точки зрения к этому не подойти, так как измерить вред в каких либо единицах нельзя, но в кальяне вредных веществ априори меньше.	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052909287624061
711	ну да, я же онкологию не получаю нюхая дт 24\7	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.002352760406211
712	ну наверно ищет кого то типа проститутки.... А если продавец, то серьезная значит, семью хочет, вот и перестал общаться	1.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7336838841438293
713	это значит что вы - сумасшедшая	1.0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.1762322932481765
714	Поверьте, для любого нашего и не только нашего ритуального агента жертва самоубийства - это тяжелое моральное потрясение. Ведь агент сопровождает родных все время до похорон и их боль частично передается и ему.	0.79	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0594844333827495
715	Мы можем подобрать для Вас пароль к   следующим электронным почтовым ящикам:   .   st.   x.   .   .   ydx.   g.   .t   y.   t.   q-t   .   vt.   и т.д   Так же осуществляется взлом соц.сетей:   dss.   vtt.Istg.   и т.д.	1.0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0350453220307827
716	Люди-глупцы слепы, они собирают сокровища и страдают от жадности по дарам Зоны. Монолит освобождает их светом своим и собирает их души вместо дичи...Но пришел тогда первый от Монолита и сказал: Вразумитесь! Но не слушали они…	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.2434229552745819
717	Ага, особенно при циррозе печени. Поехали на могилку моей подруги, которая от этого померла, скажешь ей это.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.3604676127433777
718	Бахни водки, сьешь селедки. Найди себе нового парня и радуйся жизни	0.95	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6583283543586731
719	Двачую, Сталин специально игнорил разведку и ослаблял армию, чтобы ГИтла победил. А потом резко передумал проигрывать.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.5395034551620483
720	Продадут. Чватит 10 таблеток на 10 дней.	0.76	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027763585094362
721	Да уж, эти кривые кальки с английского плохо воспринимаются. Ну и толку от этого оружия? Ни турель нормально не взорвать, ни проход невидимо для врага заминировать.	1.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.1175291165709495
722	Да зачем барыге прицеп без жилья? Это же не муж, а так...	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191083550453186
723	Я уже мертв так-то, а сказать, что под моим крюком фонарик лежит это не то же самое, что постоянно со связью говорить о том, где маньяк	0.94	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.1243121698498726
724	Правильно мыслишь. Я просто восхищаюсь тем, как эта професия может помочь поставить одновременно 4 тела раком	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.3233750462532043
725	Это и не нужно . Достаточно снять никотинозависимого на камеру	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1084021255373954
726	Зайдите на любую фриланс биржу и выбирайте себе раба, читайте отзывы	1.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0800806954503059
727	Так, настройка. ЖелтыйЦвет мочиСкинул 75 рублей посредствомОбогатил олигархов фармацевтов Гробанешься. От старости.  вижу что выпадут зубы, и облысеешь  	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7063405513763428
728	Хотя Катя советовала от души, тратила время. Но она тоже не понимала, че такого, если покурить шмали или выпить...	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2287562936544418
729	нет инвалидов, и закона не нет.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0005318593466654
730	Сходил бы лучше с пацанами побухал на 10к, проставился бы.	1.0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.4743757545948029
731	только давайте без лонгплеев и книг. это отбивает хомяков. нужен просто шок контент и платина	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0023510709870606
732	Надо косить по этой теме с операцией и врачом, просить хотябы отсрочку - а дальше уже искать болячки и косить по полной. Вообще я хз можно ли придти так просто или надо подготовить почву	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0164828617125749
733	Год отбивала мужчину и отбила таки, опозорив соперницу по всем фронтам, а он мне больше не нужен	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.1960727423429489
734	Это не лакеры, люди продают свой шмот, а потом передают серу обрывками с дискотек и ливают из этой параши.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.335487425327301
735	 Лежит в стиме пару пикрелейтед, надо кому?	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0128117837011814
736	Первая и последняя попытка.я не был никогда барыгой в жизни	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0500660315155983
737	"Ага, вступил в ВТО, оживил НАТО, уничтожил все ядерные шахты, уничтожил ""ядерный поезд"", вывез 1,5 триллиона долларов за границу, расплодил олигархов, сел на 3 срок вопреки конституции. Прям мастер."	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0334642007946968
738	Знаю, что многие оказывают такие услуги...Насколько эффективно, хз. Обычно все равно нужны медикаменты, а по интернету их не выпишут.	0.89	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0009348557214252
739	Ага страну итак активно поднимают, так жестко нимают, и нимают	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0362409502267837
740	«Белорусское настроение: пить, не рожать, валить из страны.»	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7095683217048645
741	Вам нужен массаж и сексотерапию на ночь и можно весь день.	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4791484475135803
742	Эхх-А,ты о этом...-отвел взгляд и выпил сока.-Понимаю,одиночество-дрянь,но тут хоть какая-то прежняя атмосфера осталась.Блжад,в голосМожет рили запилю	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5885483026504517
743	"что может чувствовать молодой парень? -секс ему нужен!"""	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0310982093214988
744	Заработать в интернете можно только обманывая кидая других.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0359279364347457
745	у меня дома. вот сидим с ней брэнди распиваем	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016405506758019
746	Нет, мне нравится, когда мужчинъ прилюдно не скръвают своей возбудъ под штанами!	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.6873499155044556
747	Ни о чем вопрос. При одной и той же должности и квалификации и з/плата одинаковая.А если мужик бетонщиком на стройке, а женщина в офисе косынку собирает – то и разница в з/плате в 10 раз.	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0014707699883729
748	Бляяя, я в 17 лет карлик  см и мой вес 63 ужеНикак, серце не выдердит, 3 ра д	1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.3598994612693786
749	А РУССКИЙ блю-рей трекер есть? Хочу побаловать себя иногда оригинальным битрейтом, а на этих ваших рутрекерах одни рипы.	1.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2238061428070068
750	 это моё тело-моё делоА как информация родственникам о том, что их x-тян снималась в порно или являлась проституткой мешает ей распоряжаться своим телом?	1.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5453961491584778
751	мужиков хороших очень многа ...проста вы бабы не понятные	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.004227165132761
752	Чё-то в реестре ООН никак не могу найти ДНР, не покажешь?	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.098868153989315
753	"ну сперва - это как домашние животные.через несколько месяцев - можно и побить гада, что выпендрился против твоего ребенка.потом годы ""дай ей мяса, я потом пожру"".потом она - замуж, еще лет.... много ждешь...и ВНУК."	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1256925612688064
754	Взломал w-f сеть. Но на данный момент w шифрование никто не использует не использует.	1.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0276785530149936
755	так всегда пишет. а ещё лучше - удали свой го8ноантивирус	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0315513275563716
756	А какой надо снимать видеоконтент типа блога, но не порно, чтобы понравилось двачерам?	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7238579988479614
757	"Просьба к модератору убрать из заглавного сообщения предложения ""У которой есть устойчивая, или остаточная, суицидальная тяга. Не чужда апатия"". А то слишком строгий поиск видимо, а он и так редкий. Само это сообщение можно оставить. Спасибо."	1.0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.3635086417198181
758	у каждого они еще и свои у меня все начиналось когда бросал с энергетиков, безалкогольного пива , нюхал табак и прочей х.у.й.не самообманом вобщем но это не нужно не х.у.я	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1637943983078003
759	Я всё же надеюсь что найдётся тня с моих влажных фантазий.	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5621777772903442
760	потому что в мошонке 5 шариков, из них 2 красных. Неужели так сложно?	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1053159460425376
761	США может хоть весь мир захватить я только за. Меня больше волнует образ жизни и общество а не то какой флажок и кто владеет баблом. Я против исламского общества. Я за американское. Поэтому мусульман убивать.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.2968412041664123
762	Володя обещает продолжение гуляний:Путин попросил Медведева подумать о проблеме «сильного рубля»	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.2343342900276184
763	Быдлогород, но квартиры дешевле, чем в Москве	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.2736590504646301
764	тут показывали парад к 70-летию КНР.Окуеешь	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0164374560117721
765	Лучше рыгать. Меньше в кровь поподет быстрее забудешь. если это от чипсов	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4336570203304291
766	Если вейп заменяет сигареты, то зачем сиги то курить? Вейпом не накуриваешься, или как?	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0820643231272697
767	По поводу прописки обращайся к любому хачу на улице, они все в Москве прописаны по блату по  человек на квартиру. Стоить много это не должно.Как у вуза с общагами обстоят дела?тред не читал	1.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.2878724336624145
768	Да ладно? А кто майдаун оплачивал? Сами признались... А г начали подбрасывать копеечки потому что европе платить надоело, а без копеечки извне получится элегантный голодоморчик... Нам то по фиг, но приятственно	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0.1462793797254562
769	 dtОдноранговые, анонимные сети. T, 2, ft, t.dw Распределённые нейросети.	0.79	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1886083483695984
770	может, отдали студентам-медикам на растерзание... не знаю.	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0089749218896031
771	Это всё на что хватает твоего серого вещества?	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.4164582192897797
772	есть гоны конечно....но они у меня и без алкоголя часто бывают....	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004502855299506
773	Это чисто нигерская фича, как например золотые диски на колесах, золотой айфон, золотая пушка, золотой унитаз, тачка с гидравликой.Не шкварь себя.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.1792895346879959
774	Всё индивидуально на самом деле, можешь и литр выпить и не блевать	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191651359200477
775	 Ну не знаю. Написал бы, что прогнуться под США, но в 90-если прогнулись, а жить лучше не стали. Наверное какие-то эффективные реформы, связанные с экономикой, чтобы люди были эффективными, а их труд высоко оплачмвался.	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0020039703231304
776	Анонимная отправка почты,можно вкладывать файлыtt:// - Анонимные советы. - Игоры для ума	0.95	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0558156482875347
777	На что только не пойдут ушлые люди, чтобы скомпрометировать облик Великой, вставшей с колен, России! внутри	0.79	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.2492199689149857
778	Потому что она тп, и хочет	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5058882832527161
779	ЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕ кто терь ОК Барс победит или ЦыСКА?	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.3021033108234405
780	стоит выбор между лирикой и шмалью	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0345062464475631
781	Если я за последний месяц сумел истратить  плата на пруймы, косметику и мелкие потребности, а сейчас купил еще  на мелкие потребности, я хороший гой? Рамки считать алко- или наркозависимостью?	0.9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0095914071425795
782	 когда на женщину смотришь, как на человекаженщиначеловек/0	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0116309812292456
783	 что бы хотя бы эта страна выдержала очередной натиск муслимского говнахотя и церквушки еврейские, но...	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.5947642922401428
784	порезал руки и потом месяц лежал в дурке. хз как до такого докатился. диагноз никакой не поставили, но было что то вроде магического мышления или как то так	0.9	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0427456460893154
785	Видел где то статистику что вагинальный оргазм испытывают около 15%, клиторальный около 25%. Остальные либо путают локальные ощущения с оргазмом либо не испытывают его вовсе	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1488564759492874
786	Да, но она обязана признать свою кровь и защищать права поляков в РФ. Польский должен быть официальным в следующих областях: Московская, Калужская, Смоленская, Брянская и мб и в других. 	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0.6035565733909607
787	а потом тебя жизнь опустилаПодробности будут?	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.6075422763824463
788	Смотря как выглядишь и одетЕсли не как школьник  ещё поведение соответствущее, то конечно пустятнакрайняк сделай левую распечатку паспорта отфотошопленную	1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.3941392600536345
789	потому что он бросил богов и остался с людьми, когда те боги сказали, что люди им на хрен не нужны и ушли.	1.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0102360444143414
790	"не за чтоНу пусть за ""спасибо"" от общества посидят."	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0176357124000787
791	ВЗРОСЛИКИ! А правда же воскресный степенный, размеренный секс гораздо лучше, чем секс по быстренькому в будни? 	0.83	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6466509103775024
792	смени имя, фамилию, пол. Беги. Когда он найдет тебя, повтори. Когда-нибудь он устанет.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.7297106385231018
793	не обязательно иметь для этого деньги,могут поделится друзья наркоманы за то что он просто может знать барыгу и купить у него за их деньги порошка	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023918538354337
794	Я же не нищеброд какой чтобы пить спиртосодержащие жидкости вместо норм бухлишка	0.85	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5362406969070435
795	я бы на месте того парня пошел бы самоубиваться.	1.0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.6732563972473145
796	...таки да, именно израильтяне всегда всё продают себе в убыток.	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0004426800878718
797	Как будто в мультиплеер можно играть через ЧУДЕСА.Ты заранее опряделяешь какие тебе нужны, успел взять хорошо. Не успел, сливаешь.	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.6198068261146545
798	Интересно, а члены она любит большие или огромные?	1.0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.2253822982311249
799	А я почти трезвый в 6 утра пришел. Даже как то странно, на обычных вписках мы надираемя в щи, а тут как то все чинно благородно вышло. Наверное из-за закуси.	0.83	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0588219128549099
800	Масоны расскажите про Истину. В чём она заключается? Бог есть? Зачем люди живут?И вопрос №2.Зачем Запад нападает на Россию?	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.6903473138809204
801	 Во четвертом классе, написал как-то, что хочу стать Вахабитом и уехать воевать в Чечню как папа шла вторая чеченская, мамку вызывали и спрашивали, знает ли где её муж, с которым она развелась несколько лет назад.	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.2606281936168671
802	А у нас до 10 класса было всего 3 тян и ничего такого небыло, хотя слухи про одну тоже ходили. А еще одна потом вообще не стала ходить, говорили что на наркоту подсела и щас даже не знаю что с ней.	0.95	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155478240922093
803	я священник чина Мелхиседекачего надо то?	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.2925301194190979
804	библейское понятие человек это - заблудшая овца, раб, грешник...	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.4931166470050812
805	Женской дружбы не существует... Все время в потрахушки переходит	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.4808158278465271
806	Бог внутри тебяЭто и есть подтверждение словам, что Человек = Б-г, ибо даже в древних сказках было сказано, что человек создан по образу и подобию Б-га, а значит, сам является Б-гом.	0.78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.4272787868976593
807	События  года лишь жалкий временный реванш антисоветских сил.	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.5766652822494507
808	Сейчас о любви уже и не поют, а поют только о сексе и сопливых проблемных отношениях. От такой музыки народ деградирует, а деградирующими людьми легче управлять и внушать им что-то.	1.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1399426013231277
809	Да, я долго не понимала, что это вообще за наркотик такой и какова сила зависимости, что это болезнь. Думала, что ему просто это нравится, обижалась, скандалила...	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105147277936339
810	Трупоеды.Но даже их рацион, на 95% вегетарианский.	0.94	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.54881751537323
811	Я тоже в 19 лет УЖЕ первый раз и так с тех пор ЕЩЕ и не было.24 лвл	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0795178562402725
812	Объясните кто вообще такие арийцы, в чем вообще крутость быть ими? Германия же никогда не тащила	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.2605917453765869
813	согласно минским соглашениямВ минских соглашениях речь идет только об ополчении, а Ерофеев с Александровым - незаконные комбатанты, их судят по УК Украины. Алсо, как и других преступников, ты же не думал, что ВСЕХ амнистируют.	1.0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.7294110059738159
814	только что задудсенный  перископ из аэропорта там орали в поддержку эрдогана. они все эрдоана поддерживают. фейл короче	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0319077558815479
815	А вы когда нибудь лишали девственности девушку/парня?	0.95	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3928513824939728
